,Year,Region,Birth_rate,Death_rate,Divorce_rate,Marriage_rate,Natural_growth_rate,Is_Capital,Is_bigcity,순이동률,전입률,전출률
212,2012,Whole country,10.1,4.9,2.2,4.6,5.2,False,False,0.0,14.9,14.9
213,2012,Whole country,9.81,5.4,2.3,6.4,4.4,False,False,0.0,14.9,14.9
214,2012,Whole country,9.33,5.3,2.4,7.4,4.0,False,False,0.0,14.9,14.9
215,2012,Whole country,8.03,5.4,2.1,8.7,2.6,False,False,0.0,14.9,14.9
216,2012,,,,,,,,,-0.2,14.6,14.8
217,2013,Busan,8.51,6.0,2.0,6.6,2.5,False,True,-0.5,13.7,14.2
218,2013,Busan,7.86,6.2,2.1,5.9,1.7,False,True,-0.5,13.7,14.2
219,2013,Busan,7.66,6.2,2.0,5.0,1.4,False,True,-0.5,13.7,14.2
220,2013,Busan,7.6,5.7,1.9,5.2,1.9,False,True,-0.5,13.7,14.2
221,2013,Busan,7.02,5.7,2.2,6.5,1.3,False,True,-0.5,13.7,14.2
222,2013,Busan,6.87,5.3,2.1,5.9,1.6,False,True,-0.5,13.7,14.2
223,2013,Busan,7.05,5.1,2.4,6.0,1.9,False,True,-0.5,13.7,14.2
224,2013,Busan,7.25,5.4,2.3,5.7,1.8,False,True,-0.5,13.7,14.2
225,2013,Busan,8.01,5.5,2.2,4.0,2.5,False,True,-0.5,13.7,14.2
226,2013,Busan,7.51,5.7,2.3,5.6,1.8,False,True,-0.5,13.7,14.2
227,2013,Busan,7.04,6.1,2.0,6.5,1.0,False,True,-0.5,13.7,14.2
228,2013,Busan,6.36,6.2,2.1,8.2,0.2,False,True,-0.5,13.7,14.2
229,2013,Chungcheongbuk-do,10.12,6.8,2.2,6.5,3.3,False,False,0.2,13.9,13.7
230,2013,Chungcheongbuk-do,9.68,6.6,2.4,6.0,3.1,False,False,0.2,13.9,13.7
231,2013,Chungcheongbuk-do,9.23,7.2,2.1,5.2,2.1,False,False,0.2,13.9,13.7
232,2013,Chungcheongbuk-do,9.17,7.3,2.5,5.3,1.9,False,False,0.2,13.9,13.7
233,2013,Chungcheongbuk-do,8.05,6.8,2.4,6.6,1.3,False,False,0.2,13.9,13.7
234,2013,Chungcheongbuk-do,8.35,6.4,2.3,6.1,1.9,False,False,0.2,13.9,13.7
235,2013,Chungcheongbuk-do,9.17,6.1,2.8,6.2,3.0,False,False,0.2,13.9,13.7
236,2013,Chungcheongbuk-do,8.56,5.8,2.5,5.3,2.8,False,False,0.2,13.9,13.7
237,2013,Chungcheongbuk-do,8.95,6.3,2.1,4.4,2.7,False,False,0.2,13.9,13.7
238,2013,Chungcheongbuk-do,8.15,7.0,2.7,5.7,1.1,False,False,0.2,13.9,13.7
239,2013,Chungcheongbuk-do,8.59,6.8,2.4,6.0,1.7,False,False,0.2,13.9,13.7
240,2013,Chungcheongbuk-do,7.25,6.7,2.4,8.2,0.6,False,False,0.2,13.9,13.7
241,2013,Chungcheongnam-do,11.39,7.0,2.3,6.5,4.4,False,False,0.7,13.9,13.2
242,2013,Chungcheongnam-do,10.35,7.5,2.4,5.6,2.9,False,False,0.7,13.9,13.2
243,2013,Chungcheongnam-do,9.52,7.1,2.1,5.1,2.5,False,False,0.7,13.9,13.2
244,2013,Chungcheongnam-do,9.37,6.9,2.4,6.4,2.5,False,False,0.7,13.9,13.2
245,2013,Chungcheongnam-do,8.73,6.8,2.5,7.5,1.9,False,False,0.7,13.9,13.2
246,2013,Chungcheongnam-do,8.38,6.3,2.3,6.2,2.1,False,False,0.7,13.9,13.2
247,2013,Chungcheongnam-do,9.24,6.2,2.5,6.0,3.0,False,False,0.7,13.9,13.2
248,2013,Chungcheongnam-do,9.14,6.3,2.4,5.6,2.8,False,False,0.7,13.9,13.2
249,2013,Chungcheongnam-do,9.28,6.5,2.5,4.2,2.8,False,False,0.7,13.9,13.2
250,2013,Chungcheongnam-do,8.87,6.9,2.5,6.1,1.9,False,False,0.7,13.9,13.2
251,2013,Chungcheongnam-do,8.25,7.6,2.3,6.4,0.7,False,False,0.7,13.9,13.2
252,2013,Chungcheongnam-do,7.98,7.1,2.4,8.4,0.9,False,False,0.7,13.9,13.2
253,2013,Daegu,9.34,5.5,1.8,6.2,3.8,False,True,-0.5,14.2,14.6
254,2013,Daegu,8.73,5.7,1.7,5.6,3.1,False,True,-0.5,14.2,14.6
255,2013,Daegu,7.96,5.5,1.5,4.4,2.4,False,True,-0.5,14.2,14.6
256,2013,Daegu,8.3,5.0,1.9,4.6,3.3,False,True,-0.5,14.2,14.6
257,2013,Daegu,7.64,4.6,2.0,6.2,3.0,False,True,-0.5,14.2,14.6
258,2013,Daegu,6.98,4.6,2.1,5.5,2.4,False,True,-0.5,14.2,14.6
259,2013,Daegu,7.83,4.5,2.1,6.0,3.3,False,True,-0.5,14.2,14.6
260,2013,Daegu,7.54,5.0,1.9,4.8,2.5,False,True,-0.5,14.2,14.6
261,2013,Daegu,7.8,4.8,1.9,3.7,3.0,False,True,-0.5,14.2,14.6
262,2013,Daegu,7.95,4.9,2.3,5.3,3.0,False,True,-0.5,14.2,14.6
263,2013,Daegu,6.79,5.1,1.9,6.0,1.7,False,True,-0.5,14.2,14.6
264,2013,Daegu,6.63,5.4,2.0,7.3,1.2,False,True,-0.5,14.2,14.6
265,2013,Daejeon,11.08,4.6,1.7,7.0,6.5,False,True,0.0,15.2,15.2
266,2013,Daejeon,10.38,4.4,2.3,5.6,6.0,False,True,0.0,15.2,15.2
267,2013,Daejeon,9.33,4.6,1.9,5.7,4.7,False,True,0.0,15.2,15.2
